"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1667","WINKLER ","TX ",0,0,"45972",1086,0,0
"1668","WISE ","TX ",4,3,"45973",95982,1834,1.91077493696735
"1669","YOUNG ","TX ",0,0,"45981",19920,0,0
"1670","ZAPATA ","TX ",0,0,"45982",5804,0,0
"1671","ZAVALA ","TX ",0,0,"45983",5079,0,0
"1672","BOX ELDER ","UT ",5,2,"46010",39151,285,0.727950754769993
"1673","CACHE ","UT ",4,3,"46020",124380,453,0.364206464061746
"1674","DAGGETT ","UT ",0,0,"46040",528,0,0
"1675","DUCHESNE ","UT ",2,2,"46060",19404,50,0.257678829107401
"1676","EMERY ","UT ",2,2,"46070",11768,59,0.501359619306594
"1677","JUAB ","UT ",2,2,"46110",6348,48,0.756143667296786
"1678","MILLARD ","UT ",3,3,"46130",10116,49,0.484381178331356
"1679","PIUTE ","UT ",1,1,"46150",1328,12,0.903614457831325
"1680","RICH ","UT ",1,1,"46160",1256,15,1.19426751592357
"1681","SALT LAKE ","UT ",11,6,"46170",5144944,7650,0.148689665038142
"1682","SANPETE ","UT ",2,2,"46190",27765,99,0.356564019448947
"1683","TOOELE ","UT ",3,1,"46220",44770,98,0.218896582532946
"1684","UINTAH ","UT ",1,1,"46230",15590,79,0.50673508659397
"1685","UTAH ","UT ",9,3,"46240",1179042,2926,0.248167580120131
"1686","WASATCH ","UT ",3,3,"46250",21934,85,0.387526215008662
"1687","WEBER ","UT ",8,6,"46280",595560,1724,0.289475451675734
"1698","ACCOMACK ","VA ",0,0,"49000",43014,0,0
"1699","ALBEMARLE ","VA ",1,0,"49010",74424,20,0.0268730517037515
"1700","ALEXANDRIA CITY ","VA ",1,1,"49011",319447,559,0.174989904428591
"1701","AMELIA ","VA ",1,1,"49030",12078,14,0.115913230667329
"1702","AMHERST ","VA ",3,2,"49040",51381,173,0.336700336700337
"1703","APPOMATTOX ","VA ",1,1,"49050",12295,32,0.260268401789345
"1704","ARLINGTON ","VA ",1,1,"49060",342684,844,0.246291043643707
"1705","AUGUSTA ","VA ",0,0,"49070",84502,0,0
